participant,condition,trial,item_id,modality,word_frequency,lexical_ambiguity,syntactic_complexity,semantic_predictability,context_support,working_memory_load,pragmatic_inference_demand,discourse_coherence,comprehension_accuracy,lexical_decision_accuracy,production_accuracy,reading_time_ms,lexical_decision_rt_ms,production_latency_ms,confidence
P001,control,1,LP001,reading,6.8,3.1,4.0,5.6,5.5,4.2,3.0,6.2,1,1,1,1320,610,1780,7.4
P001,syntactic_complexity,2,LP002,reading,5.8,4.2,8.2,4.8,4.6,7.5,4.1,5.0,0,1,1,2260,730,2050,5.9
P002,semantic_prime,1,LP003,lexical_decision,7.8,2.0,3.0,8.5,8.0,3.2,2.2,8.1,1,1,1,980,480,1520,8.3
P002,low_frequency,2,LP004,lexical_decision,2.4,3.8,3.8,4.0,4.2,4.8,2.8,4.8,1,0,1,1680,920,1880,6.0
P003,pragmatic_inference,1,LP005,speech,6.2,5.2,5.8,5.0,6.5,6.0,8.4,6.1,1,1,0,1840,720,2640,6.8
P003,discourse_context,2,LP006,reading,6.5,4.5,5.2,7.6,8.8,4.8,5.2,8.7,1,1,1,1260,600,1720,8.0
P004,production_load,1,LP007,writing,5.7,4.8,6.8,5.4,5.8,7.8,5.6,5.9,1,1,0,1880,760,3120,6.1
P004,high_frequency,2,LP008,lexical_decision,9.0,2.4,2.8,7.8,7.0,2.8,2.0,7.6,1,1,1,840,420,1360,8.8
P005,syntactic_complexity,1,LP009,reading,5.2,5.0,8.8,3.8,4.0,8.0,5.0,4.2,0,1,1,2520,780,2180,5.4
P005,control,2,LP010,speech,6.4,3.5,4.2,5.8,5.9,4.0,3.4,6.5,1,1,1,1250,590,1700,7.6
